"id	Kanji	""Reading within Joyo""	""Translation of On""",,,
"548	言	ゲン、ゴン、い-う、こと	""word; phrase; speech; statement""",,,
"549	弦	ゲン、つる	""bowstring; chord (in geometry); hypotenuse; crescent (moon); bowstring; string (of an instrument)""",,,
"550	限	ゲン、かぎ-る	""limit",,,
"551	原	ゲン、はら	""original",,,
"552	現	ゲン、あらわ-れる、あらわ-す	""present",,,
"553	舷	ゲン	gunwale",,,
"554	減	ゲン、へ-る、へ-らす	""decrease",,,
"555	源	ゲン、みなもと	""source",,,
"556	厳	ゲン、[ゴン]、おごそ-か、きび-しい	""strictness",,,
"557	己	コ、キ、おのれ	sixth",,,
"558	戸	コ、と	""house; door; family; counter for houses""",,,
"559	古	コ、ふる-い、ふる-す	old",,,
"560	呼	コ、よ-ぶ	""call",,,
"561	固	コ、かた-める、かた-まる、かた-い	""harden",,,
"562	股	コ、また	""thigh",,,
"563	虎	コ、とら	""tiger",,,
"564	孤	コ	orphan",,,
"565	弧	コ	""arc; arch; bow""",,,
"566	故	コ、ゆえ	""reason",,,
"567	枯	コ、か-れる、か-らす	""wither",,,
"568	個	コ	""individual; article counter""",,,
"569	庫	コ、[ク]	storehouse",,,
"570	湖	コ、みずうみ	lake",,,
"571	雇	コ、やと-う	""employ",,,
